File, GS Overlap, GS Energy, HF Energy, DMRG2 Energy, Bond Dim
B+_STO-3G_SINGLET_JW.json, 0.5161221033879207, -24.189264917100495, -23.948470366408024, -24.189264719778294, 32
C_STO-3G_TRIPLET_BK.json, 0.2937412984353002, -37.21873355063724, -37.198392563731566, -37.21873351188277, 32
C_STO-3G_TRIPLET_JW.json, 0.43079535203193653, -37.21873355063673, -37.198392563731566, -37.21873347847985, 32
O_STO-3G_TRIPLET_JW.json, 0.4080819624063131, -73.80415023325793, -73.80415023325587, -73.80415023325604, 32
Be_STO-3G_SINGLET_JW.json, 0.0, -14.403655108067632, -14.351880476202012, -14.2866222258976, 32
N_STO-3G_QUARTET_BK.json, 0.6119219925277444, -53.71901016259466, -53.71901016259394, -53.719010162594024, 32
Li_STO-3G_DOUBLET_BK.json, 0.0, -7.315836552850726, -7.315525981281089, -7.230481650720817, 32
H2_6-31G_SINGLET_BK.json, 0.9991918090385047, -1.1516894969527622, -1.1265505333266992, -1.148924487273532, 32
Be_STO-3G_SINGLET_BK.json, 0.0, -14.403655108067666, -14.351880476202012, -14.286622225189676, 32
HeH+_3-21G_SINGLET_BK.json, 0.8367238411881618, -3.1728169735771132, -2.8874377987654416, -3.17155732319238, 32
H2_6-31G_SINGLET_JW.json, 0.9999628817512632, -1.1516894969527633, -1.1265505333266996, -1.1515149851911037, 32
N_STO-3G_QUARTET_JW.json, 0.36399815207998937, -53.71901016259454, -53.71901016259394, -53.719010162594074, 32
B+_STO-3G_SINGLET_BK.json, 0.6158499831141319, -24.18926491710056, -23.948470366408024, -24.18926489432757, 32
B_STO-3G_DOUBLET_BK.json, 0.35553602259924555, -24.189264917100626, -24.148988598853634, -24.189264696492803, 32
H3+_STO-3G_SINGLET_JW.json, 0.6840941769321185, -1.3609986808736991, -1.2463419007866505, -1.3609986758184096, 32
Li_STO-3G_DOUBLET_JW.json, 0.4230935097251952, -7.315836552850719, -7.315525981281089, -7.31583645038089, 32
H2_3-21G_SINGLET_BK.json, 0.9992273798493791, -1.1478774014540072, -1.1227992820505093, -1.144963653745978, 32
H2_3-21G_SINGLET_JW.json, 0.9999785254524454, -1.1478774014540072, -1.1227992820505093, -1.1477799693773159, 32
H3+_STO-3G_SINGLET_BK.json, 0.9999999999998455, -1.360998680873287, -1.2463419007866505, -1.3609986808737102, 32
B_STO-3G_DOUBLET_JW.json, 0.5816695141893065, -24.18926491710035, -24.148988598853634, -24.189264707102012, 32
H4_STO-3G_SINGLET_JW.json, 0.9996943878517702, -1.8743019741837186, -1.333349777097312, -1.8742989421008687, 32
HeH+_3-21G_SINGLET_JW.json, 0.4817291233316852, -3.1728169735771194, -2.8874377987654425, -3.1724733606722992, 32
H4_STO-3G_SINGLET_BK.json, 0.9998975465615091, -1.874301974183718, -1.333349777097312, -1.8743009268727773, 32
Be_STO-3G_SINGLET_JW.json, 0.9999996751926726, -14.40365510806764, -14.351880476202012, -14.403655009993699, 64
Li_STO-3G_DOUBLET_BK.json, 0.8021357664189606, -7.315836552850675, -7.315525981281089, -7.315836551413054, 64
Be_STO-3G_SINGLET_BK.json, 0.0, -14.403655108067642, -14.351880476202012, -14.286622226022843, 64
Be_STO-3G_SINGLET_BK.json, 0.9999995890448002, -14.403655108067658, -14.351880476202012, -14.403654991144302, 64
